Use of Uninitialized Function Pointer in radareorg/radare2,CVE-2022-1809,CWE-824: Access of Uninitialized Pointer,"  context->read_addr = be? vtable_read_addr_be64 : vtable_read_addr_le64;
  break;
 default:
  // cant be null. assume 32bit ""->read_addr = NULL;
  context->read_addr = be? vtable_read_addr_be32 : vtable_read_addr_le32;
  return false;
 }
 return true;

static bool vtable_is_value_in_text_section(RVTableContext *context, ut64 curAddress, ut64 *value) {
 //value at the current address
 ut64 curAddressValue = UT64_MAX;
 if (!context->read_addr (context->anal, curAddress, &curAddressValue)) {
  return false;
 }
}

static bool vtable_is_addr_vtable_start_msvc(RVTableContext *context, ut64 curAddress) {
 ut8 buf[VTABLE_BUFF_SIZE];
 RAnalRef *xref;
 RListIter *xrefIter;

 r_list_foreach (xrefs, xrefIter, xref) {
  // section in which currenct xref lies
  if (vtable_addr_in_text_section (context, xref->addr)) {
   context->anal->iob.read_at (context->anal->iob.io, xref->addr, buf, sizeof (buf));


   RAnalOp analop = {0};
   r_anal_op (context->anal, &analop, xref->addr, buf, sizeof (buf), R_ANAL_OP_MASK_BASIC);
   if (analop.type == R_ANAL_OP_TYPE_MOV || analop.type == R_ANAL_OP_TYPE_LEA) {


    r_list_free (xrefs);
    r_anal_op_fini (&analop);
    return true;
   }

   r_anal_op_fini (&analop);
  }
 }
}

R_API void r_anal_list_vtables(RAnal *anal, int rad) {
 RVTableContext context = {0};
 r_anal_vtable_begin (anal, &context);

 const char *noMethodName = ""No Name found"";
"
Out-of-bounds read in function gchar_cursor in vim/vim,CVE-2022-1851,CWE-125: Out-of-bounds Read,"  close!
endfunc

"" This was leaving the cursor after the end of a line.  Complicated way to
"" have the problem show up with valgrind.
func Test_correct_cursor_position()
  set encoding=iso8859
  new
  norm a0000
  sil! norm gggg0i0gw0gg

  bwipe!
  set encoding=utf8
endfunc

"" vim: shiftwidth=2 sts=2 expandtab
    {
 curwin->w_cursor = saved_cursor;
 saved_cursor.lnum = 0;

 // formatting may have made the cursor position invalid
 check_cursor();
    }

    if (oap->is_VIsual)

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5013,
/**/
    5012,
/**/
"
Heap-based Buffer Overflow in function utf_head_off in vim/vim,CVE-2022-1886,CWE-122: Heap-based Buffer Overflow,"     len = STRLEN(y_array[y_size - 1]);
     col = (colnr_T)len - lendiff;
     if (col > 1)
     {
  curbuf->b_op_end.col = col - 1;
  if (len > 0)
      curbuf->b_op_end.col -= mb_head_off(y_array[y_size - 1],
      y_array[y_size - 1] + len - 1);
     }
     else
  curbuf->b_op_end.col = 0;

  bwipe!
endfunc

"" this was putting a mark before the start of a line
func Test_put_empty_register()
  new
  norm yy
  norm [Pi00ggv)s0
  sil! norm [P
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5016,
/**/
    5015,
/**/
"
Out-of-bounds write in function vim_regsub_both in vim/vim,CVE-2022-1897,CWE-787: Out-of-bounds Write,"    return idx;
}

/*
 * If currently editing a cmdline or text is locked: beep and give an error
 * message, return TRUE.
 */
    static int
check_text_locked(oparg_T *oap)
{
    if (text_locked())
    {
 clearopbeep(oap);
 text_locked_msg();
 return TRUE;
    }
    return FALSE;
}

/*
 * Handle the count before a normal command and set cap->count0.
 */
 goto normal_end;
    }

    if ((nv_cmds[idx].cmd_flags & NV_NCW)
    && (check_text_locked(oap) || curbuf_locked()))
 // this command is not allowed now





 goto normal_end;

    // In Visual/Select mode, a few keys are handled in a special way.
    char_u *ptr;
    linenr_T lnum = -1;

    if (check_text_locked(cap->oap))



 return;

    if (curbuf_locked())
    {
 clearop(cap->oap);

    // ""gQ"": improved Ex mode
    case 'Q':
 if (!check_text_locked(cap->oap) && !checkclearopq(oap))







     do_exmode(TRUE);
 break;

  delfunc Repl
endfunc

"" This was undoign a change in between computing the length and using it.
func Do_Test_sub_undo_change()
  new
  norm o0000000000000000000000000000000000000000000000000000
  silent! s/\%')/\=Repl()
  bwipe!
endfunc

func Test_sub_undo_change()
  func Repl()
    silent! norm g-
  endfunc
  call Do_Test_sub_undo_change()

  func! Repl()
    silent earlier
  endfunc
  call Do_Test_sub_undo_change()

  delfunc Repl
endfunc

"" Test for the 2-letter and 3-letter :substitute commands
func Test_substitute_short_cmd()
  new
    int      above = FALSE;
    int      did_undo = TRUE;

    if (text_locked())
    {
 text_locked_msg();
 return;
    }

    // First make sure the current undoable change is synced.
    if (curbuf->b_u_synced == FALSE)
 u_sync(TRUE);

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5023,
/**/
    5022,
/**/
"
Use After Free in function find_pattern_in_path in vim/vim,CVE-2022-1898,CWE-416: Use After Free,"     clearop(cap->oap);
 else
 {
     // Make a copy, if the line was changed it will be freed.
     ptr = vim_strnsave(ptr, len);
     if (ptr == NULL)
  return;

     find_pattern_in_path(ptr, 0, len, TRUE,
  cap->count0 == 0 ? !isupper(cap->nchar) : FALSE,
  ((cap->nchar & 0xf) == ('d' & 0xf)) ?  FIND_DEFINE : FIND_ANY,
       islower(cap->nchar) ? ACTION_SHOW : ACTION_GOTO,
  cap->cmdchar == ']' ? curwin->w_cursor.lnum + 1 : (linenr_T)1,
  (linenr_T)MAXLNUM);
     vim_free(ptr);
     curwin->w_set_curswant = TRUE;
 }
    }
  sil norm o0
  sil! norm 
  bwipe!

  new somefile
  call setline(1, ['first line', '', '#define something 0'])
  sil norm 0o0
  sil! norm ]d
  bwipe!
endfunc

"" Test for [*, [/, ]* and ]/

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5024,
/**/
    5023,
/**/
"
Out of Bounds Read in string_scan_range in radareorg/radare2,CVE-2022-1899,CWE-125: Out-of-bounds Read," free (charset);
 RConsIsBreaked is_breaked = (bin && bin->consb.is_breaked)? bin->consb.is_breaked: NULL;
 // may oobread
 while (needle < to && needle < UT64_MAX - 4) {
  if (is_breaked && is_breaked ()) {
   break;
  }
  // smol optimization
  if (needle < to - 4) {
   ut32 n1 = r_read_le32 (buf + (needle - from));
   if (!n1) {
    needle += 4;
    continue;
   }
  }
  rc = r_utf8_decode (buf + (needle - from), to - needle, NULL);
  if (!rc) {
   needle++;
   continue;
  }
  bool addr_aligned = !(needle % 4);

  if (type == R_STRING_TYPE_DETECT) {
   char *w = (char *)buf + (needle + rc - from);
   if (((to - needle) > 8 + rc)) {
    // TODO: support le and be
    bool is_wide32le = (needle + rc + 2 < to) && (!w[0] && !w[1] && !w[2] && w[3] && !w[4]);
     rc = 2;
    }
   } else {
    rc = r_utf8_decode (buf + (needle - from), to - needle, &r);
    if (rc > 1) {
     str_type = R_STRING_TYPE_UTF8;
    }
"
heap-buffer-overflow in mobi_get_attribute_value in bfabiszewski/libmobi,CVE-2022-1907,CWE-126: Buffer Over-read,"2022-05-03: Fix boundary checking error in markup search, that could cause buffer over-read with corrupt input
2022-05-02: Fix typo in macro name
2022-04-27: Fix undefined behavior when passing null to strdup
2022-04-27: Fix wrong boundary checks in inflections parser resulting in stack buffer over-read with corrupt input
                    result->value[i++] = (char) *data++;
                }
                /* self closing tag '/>' */
                if (data <= data_end && *(data - 1) == '/' && *data == '>') {
                    --data; --i;
                }
                result->end = data;
                result->value[i++] = (char) *data++;
            }
            /* self closing tag '/>' */
            if (data <= data_end && *(data - 1) == '/' && *data == '>') {
                --data; --i;
            }
            result->end = data;
                length--;
            }
            /* self closing tag '/>' */
            if (length && *(data - 1) == '/' && *data == '>') {
                value--;
            }
            *value = '\0';
"
Heap-buffer-overflow in mobi_search_links_kf7 in bfabiszewski/libmobi,CVE-2022-1908,CWE-126: Buffer Over-read,"2022-05-03: Fix boundary checking error in markup search, that could cause buffer over-read with corrupt input
2022-05-02: Fix typo in macro name
2022-04-27: Fix undefined behavior when passing null to strdup
2022-04-27: Fix wrong boundary checks in inflections parser resulting in stack buffer over-read with corrupt input
                    result->value[i++] = (char) *data++;
                }
                /* self closing tag '/>' */
                if (data <= data_end && *(data - 1) == '/' && *data == '>') {
                    --data; --i;
                }
                result->end = data;
                result->value[i++] = (char) *data++;
            }
            /* self closing tag '/>' */
            if (data <= data_end && *(data - 1) == '/' && *data == '>') {
                --data; --i;
            }
            result->end = data;
                length--;
            }
            /* self closing tag '/>' */
            if (length && *(data - 1) == '/' && *data == '>') {
                value--;
            }
            *value = '\0';
"
Buffer Over-read in function utf_ptr2char in vim/vim,CVE-2022-1927,CWE-126: Buffer Over-read,"{
    int  address_count = 1;
    linenr_T lnum;
    int  need_check_cursor = FALSE;
    int  ret = FAIL;

    // Repeat for all ',' or ';' separated addresses.
    for (;;)
 lnum = get_address(eap, &eap->cmd, eap->addr_type, eap->skip, silent,
     eap->addr_count == 0, address_count++);
 if (eap->cmd == NULL) // error detected
     goto theend;
 if (lnum == MAXLNUM)
 {
     if (*eap->cmd == '%')   // '%' - all lines
       // there is no Vim command which uses '%' and
       // ADDR_WINDOWS or ADDR_TABS
       *errormsg = _(e_invalid_range);
       goto theend;
   }
   break;
      case ADDR_TABS_RELATIVE:
      case ADDR_UNSIGNED:
      case ADDR_QUICKFIX:
   *errormsg = _(e_invalid_range);
   goto theend;
      case ADDR_ARGUMENTS:
   if (ARGCOUNT == 0)
       eap->line1 = eap->line2 = 0;
  if (eap->addr_type != ADDR_LINES)
  {
      *errormsg = _(e_invalid_range);
      goto theend;
  }

  ++eap->cmd;
  if (!eap->skip)
  {
      fp = getmark('<', FALSE);
      if (check_mark(fp) == FAIL)
   goto theend;
      eap->line1 = fp->lnum;
      fp = getmark('>', FALSE);
      if (check_mark(fp) == FAIL)
   goto theend;
      eap->line2 = fp->lnum;
      ++eap->addr_count;
  }
     if (!eap->skip)
     {
  curwin->w_cursor.lnum = eap->line2;

  // Don't leave the cursor on an illegal line or column, but do
  // accept zero as address, so 0;/PATTERN/ works correctly.
  // Check the cursor position before returning.
  if (eap->line2 > 0)
      check_cursor();
  need_check_cursor = TRUE;
     }
 }
 else if (*eap->cmd != ',')
 if (lnum == MAXLNUM)
     eap->addr_count = 0;
    }
    ret = OK;

theend:
    if (need_check_cursor)
 check_cursor();
    return ret;
}

/*
  bwipe!
endfunc

"" This was leaving the cursor in line zero
func Test_using_zero_in_range()
  new
  norm o00
  silent!  0;s/\%')
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5037,
/**/
    5036,
/**/
"
Use-After-Free in function hash_new_from_values in mruby/mruby,CVE-2022-1934,CWE-416: Use After Free,"  return target;
}

#define regs (mrb->c->ci->stack)

static mrb_value
hash_new_from_regs(mrb_state *mrb, mrb_int argc, mrb_int idx)
{
  mrb_value hash = mrb_hash_new_capa(mrb, argc);
  while (argc--) {
    mrb_hash_set(mrb, hash, regs[idx+0], regs[idx+1]);
    idx += 2;
  }
  return hash;
}

#define ARGUMENT_NORMALIZE(arg_base, arg_info, insn) do {       \
  int n = *(arg_info)&0xf; \
  int nk = (*(arg_info)>>4)&0xf; \
  mrb_int bidx = (arg_base) + mrb_bidx(*(arg_info)); \
  } \
  else if (nk > 0) {  /* pack keyword arguments */ \
    mrb_int kidx = (arg_base)+(n==CALL_MAXARGS?1:n)+1; \
    mrb_value kdict = hash_new_from_regs(mrb, nk, kidx); \
    regs[kidx] = kdict; \
    nk = CALL_MAXARGS; \
    *(arg_info) = n | (nk<<4); \
  mrb->jmp = &c_jmp;
  mrb_vm_ci_proc_set(mrb->c->ci, proc);


  INIT_DISPATCH {
    CASE(OP_NOP, Z) {
      /* do nothing */
"
Heap-based Buffer Overflow in function vim_regsub_both in vim/vim,CVE-2022-1942,CWE-122: Heap-based Buffer Overflow,"    if (buf == curbuf)
 return OK;

    if (text_or_buf_locked())





 return FAIL;

    // altfpos may be changed by getfile(), get it now
    return e_not_allowed_to_change_text_or_change_window;
}

/*
 * Check for text, window or buffer locked.
 * Give an error message and return TRUE if something is locked.
 */
    int
text_or_buf_locked(void)
{
    if (text_locked())
    {
 text_locked_msg();
 return TRUE;
    }
    return curbuf_locked();
}

/*
 * Check if ""curbuf_lock"" or ""allbuf_lock"" is set and return TRUE when it is
 * and give an error message.
    int   save_KeyTyped;
#endif

    // Can't do this when text or buffer is locked.
    if (text_or_buf_locked())
 return K_IGNORE;

    // Can't do this recursively.  Can't do it when typing a password.
    if (cmdwin_type != 0
# if defined(FEAT_CRYPT) || defined(FEAT_EVAL)
char_u *getcmdline(int firstc, long count, int indent, getline_opt_T do_concat);
char_u *getcmdline_prompt(int firstc, char_u *prompt, int attr, int xp_context, char_u *xp_arg);
int check_opt_wim(void);
int text_locked(void);
void text_locked_msg(void);
char *get_text_locked_msg(void);
int text_or_buf_locked(void);
int curbuf_locked(void);
int allbuf_locked(void);
char_u *getexline(int c, void *cookie, int indent, getline_opt_T options);
void f_getcmdcompltype(typval_T *argvars, typval_T *rettv);
void f_getcmdline(typval_T *argvars, typval_T *rettv);
void f_getcmdpos(typval_T *argvars, typval_T *rettv);

void f_getcmdscreenpos(typval_T *argvars, typval_T *rettv);
void f_setcmdpos(typval_T *argvars, typval_T *rettv);
void f_getcmdtype(typval_T *argvars, typval_T *rettv);
int get_cmdline_firstc(void);
int get_list_range(char_u **str, int *num1, int *num2);
  delfunc Repl
endfunc

"" This was opening a command line window from the expression
func Test_sub_open_cmdline_win()
  "" the error only happens in a very specific setup, run a new Vim instance to
  "" get a clean starting point.
  let lines =<< trim [SCRIPT]
    norm o0000000000000000000000000000000000000000000000000000
    func Replace()
      norm q/
    endfunc
    s/\%')/\=Replace()
    redir >Xresult
    messages
    redir END
    qall!
  [SCRIPT]
  call writefile(lines, 'Xscript')
  if RunVim([], [], '-u NONE -S Xscript')
    let messages = readfile('Xresult')
    call assert_match('E565: Not allowed to change text or change window', messages[3])
  endif

  call delete('Xscript')
  call delete('Xresult')
endfunc

"" Test for the 2-letter and 3-letter :substitute commands
func Test_substitute_short_cmd()
  new

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5043,
/**/
    5042,
/**/
 return;
    }
#endif
    if (text_or_buf_locked())
    {
 beep_flush();

 return;
    }



    if (wp->w_buffer != curbuf)
 reset_VIsual_and_resel();
"
Use After Free in function utf_ptr2char in vim/vim,CVE-2022-1968,CWE-416: Use After Free,"}

#if defined(FEAT_FIND_ID) || defined(PROTO)

/*
 * Get line ""lnum"" and copy it into ""buf[LSIZE]"".
 * The copy is made because the regexp may make the line invalid when using a
 * mark.
 */
    static char_u *
get_line_and_copy(linenr_T lnum, char_u *buf)
{
    char_u *line = ml_get(lnum);

    vim_strncpy(buf, line, LSIZE - 1);
    return buf;
}

/*
 * Find identifiers or defines in included files.
 * If p_ic && compl_status_sol() then ptr must be in lowercase.
 end_lnum = curbuf->b_ml.ml_line_count;
    if (lnum > end_lnum)  // do at least one line
 lnum = end_lnum;
    line = get_line_and_copy(lnum, file_line);

    for (;;)
    {
      {
   if (lnum >= end_lnum)
       goto exit_matched;
   line = get_line_and_copy(++lnum, file_line);
      }
      else if (vim_fgets(line = file_line,
            LSIZE, files[depth].fp))
 {
     if (++lnum > end_lnum)
  break;
     line = get_line_and_copy(lnum, file_line);
 }
 already = NULL;
    }
  close!
endfunc

"" this was using a line from ml_get() freed by the regexp
func Test_isearch_copy_line()
  new
  norm o
  norm 0
  0norm o
  sil! norm bc0
  sil! isearch \%')
  bwipe!
endfunc

"" Test for :dsearch, :dlist, :djump and :dsplit commands
"" Test for [d, ]d, [D, ]D, [ CTRL-D, ] CTRL-D and CTRL-W d commands
func Test_macro_search()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5050,
/**/
    5049,
/**/
"
A heap-buffer-overflow in mobi_decode_infl in index.c in bfabiszewski/libmobi,CVE-2022-1987,CWE-126: Buffer Over-read,"2022-05-05: Fix: index entry label not being zero-terminated with corrupt input
2022-05-03: Fix boundary checking error in markup search, that could cause buffer over-read with corrupt input
2022-05-02: Fix typo in macro name
2022-04-27: Fix undefined behavior when passing null to strdup
/**
 @brief Read index entry label from buffer pointing at index record data
 @param[in,out] output Output buffer (INDX_LABEL_SIZEMAX + 1 bytes)
 @param[in,out] buf MOBIBuffer structure, offset pointing at index entry label
 @param[in] length Number of bytes to be read
 @param[in] has_ligatures Decode ligatures if true
 @return Length of output string (without null terminator), on error buf->error set to MOBI_RET status
 */
size_t mobi_indx_get_label(unsigned char *output, MOBIBuffer *buf, const size_t length, const size_t has_ligatures) {
    if (!output) {
 @param[in] ordt MOBIOrdt structure (ORDT data and metadata)
 @param[in,out] buf MOBIBuffer structure with input string
 @param[in,out] output Output buffer (INDX_LABEL_SIZEMAX + 1 bytes)
 @param[in] length Length of input string contained in buf
 @return Length of output string (without null terminator)
 */
size_t mobi_getstring_ordt(const MOBIOrdt *ordt, MOBIBuffer *buf, unsigned char *output, size_t length) {
    size_t i = 0;
        debug_print(""Label length too long: %zu\n"", label_length);
        return MOBI_DATA_CORRUPT;
    }
    char text[INDX_LABEL_SIZEMAX + 1];
    /* FIXME: what is ORDT1 for? */
    if (ordt->ordt2) {
        label_length = mobi_getstring_ordt(ordt, buf, (unsigned char*) text, label_length);
    } else {
        label_length = mobi_indx_get_label((unsigned char*) text, buf, label_length, indx->ligt_entries_count);
        if (buf->error != MOBI_SUCCESS) {
            debug_print(""Buffer error reading label: %d\n"", buf->error);
            return MOBI_DATA_CORRUPT;
        }
    }
    indx->entries[entry_number].label = malloc(label_length + 1);
    if (indx->entries[entry_number].label == NULL) {
"
Out-of-bounds write in function append_command in vim/vim,CVE-2022-2000,CWE-787: Out-of-bounds Write,"    static void
append_command(char_u *cmd)
{
    size_t  len = STRLEN(IObuff);
    char_u  *s = cmd;
    char_u  *d;

    if (len > IOSIZE - 100)
    {
 // Not enough space, truncate and put in ""..."".
 d = IObuff + IOSIZE - 100;
 d -= mb_head_off(IObuff, d);
 STRCPY(d, ""..."");
    }
    STRCAT(IObuff, "": "");
    d = IObuff + STRLEN(IObuff);
    while (*s != NUL && d - IObuff + 5 < IOSIZE)
  call assert_equal('yes', caught)
endfunc

func Test_long_error_message()
  "" the error should be truncated, not overrun IObuff
  silent! norm Q00000000000000     000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                        
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    5063,
/**/
    5062,
/**/
"
chafa <= 4bac1466 is vulnerable to an out of bounds read vulnerability. in hpjansson/chafa,CVE-2022-2061,CWE-122: Heap-based Buffer Overflow,"  /* Code is invalid */
  return LZW_BAD_CODE;

 } else if (code_new >= 1 << LZW_CODE_MAX) {
  /* Don't access out of bound */
  return LZW_BAD_CODE;

 } else if (code_new < current_entry) {
  /* Code is in table */
  code_out = code_new;
"
NULL Pointer Dereference in function mobi_build_opf_metadata at opf.c:1161 in bfabiszewski/libmobi,CVE-2022-2279,CWE-476: NULL Pointer Dereference,"2022-04-27: Fix undefined behavior when passing null to strdup
2022-04-27: Fix wrong boundary checks in inflections parser resulting in stack buffer over-read with corrupt input
2022-04-26: Fix text formatting
2022-04-26: Fix array boundary check when parsing inflections which could result in buffer over-read with corrupt input
    if (mobi_is_dictionary(m)) {
        if (opf->metadata->x_meta->dictionary_in_lang == NULL) {
            if (m->mh && m->mh->dict_input_lang) {





                uint32_t dict_lang_in = *m->mh->dict_input_lang;
                const char *lang = mobi_get_locale_string(dict_lang_in);
                if (lang) {
                    opf->metadata->x_meta->dictionary_in_lang = calloc(OPF_META_MAX_TAGS, sizeof(char*));
                    if (opf->metadata->x_meta->dictionary_in_lang == NULL) {
                        debug_print(""%s\n"", ""Memory allocation failed"");
                        return MOBI_MALLOC_FAILED;
                    }
                    opf->metadata->x_meta->dictionary_in_lang[0] = strdup(lang);
                }
            }
        }
        if (opf->metadata->x_meta->dictionary_out_lang == NULL) {
            if (m->mh && m->mh->dict_output_lang) {
                uint32_t dict_lang_out = *m->mh->dict_output_lang;
                const char *lang = mobi_get_locale_string(dict_lang_out);
                if (lang) {
                    opf->metadata->x_meta->dictionary_out_lang = calloc(OPF_META_MAX_TAGS, sizeof(char*));
                    if (opf->metadata->x_meta->dictionary_out_lang == NULL) {
                        debug_print(""%s\n"", ""Memory allocation failed"");
                        return MOBI_MALLOC_FAILED;
                    }
                    opf->metadata->x_meta->dictionary_out_lang[0] = strdup(lang);
                }


            }
        }
        if (rawml->orth->orth_index_name) {
 See mobi_locale array.
 @param[in] locale_number Mobipocket locale number (as stored in MOBI header)
 @return Pointer to locale string in mobi_locale array or NULL on error
 */
const char * mobi_get_locale_string(const uint32_t locale_number) {
    uint8_t lang_code = locale_number & 0xffU;
            *m->mh->dict_input_lang && *m->mh->dict_output_lang) {
            const char *locale_in = mobi_get_locale_string(*m->mh->dict_input_lang);
            const char *locale_out = mobi_get_locale_string(*m->mh->dict_output_lang);
            printf("": %s => %s"", locale_in ? locale_in : ""unknown"", locale_out ? locale_out : ""unknown"");
        }
        printf(""\n"");
    }
"
Buffer Over-read in hpjansson/chafa,CVE-2022-2301,CWE-126: Buffer Over-read,"}

#define ASSERT_HEADER(x) if (!(x)) return FALSE
#define UNPACK_FIELD_U32(dest, src, field) ((dest)->field = GUINT32_FROM_BE ((src)->field))
#define UNPACK_FIELD_S32(dest, src, field) ((dest)->field = GINT32_FROM_BE ((src)->field))

static gboolean
load_header (XwdLoader *loader)
{
    XwdHeader *h = &loader->header;
    XwdHeader in;
    const XwdHeader *inp;

    if (!file_mapping_taste (loader->mapping, &in, 0, sizeof (in)))
        return FALSE;

    inp = &in;

    UNPACK_FIELD_U32 (h, inp, header_size);
    UNPACK_FIELD_U32 (h, inp, file_version);
    UNPACK_FIELD_U32 (h, inp, pixmap_format);
    UNPACK_FIELD_U32 (h, inp, pixmap_depth);
    UNPACK_FIELD_U32 (h, inp, pixmap_width);
    UNPACK_FIELD_U32 (h, inp, pixmap_height);
    UNPACK_FIELD_U32 (h, inp, x_offset);
    UNPACK_FIELD_U32 (h, inp, byte_order);
    UNPACK_FIELD_U32 (h, inp, bitmap_unit);
    UNPACK_FIELD_U32 (h, inp, bitmap_bit_order);
    UNPACK_FIELD_U32 (h, inp, bitmap_pad);
    UNPACK_FIELD_U32 (h, inp, bits_per_pixel);
    UNPACK_FIELD_U32 (h, inp, bytes_per_line);
    UNPACK_FIELD_U32 (h, inp, visual_class);
    UNPACK_FIELD_U32 (h, inp, red_mask);
    UNPACK_FIELD_U32 (h, inp, green_mask);
    UNPACK_FIELD_U32 (h, inp, blue_mask);
    UNPACK_FIELD_U32 (h, inp, bits_per_rgb);
    UNPACK_FIELD_U32 (h, inp, color_map_entries);
    UNPACK_FIELD_U32 (h, inp, n_colors);
    UNPACK_FIELD_U32 (h, inp, window_width);
    UNPACK_FIELD_U32 (h, inp, window_height);
    UNPACK_FIELD_S32 (h, inp, window_x);
    UNPACK_FIELD_S32 (h, inp, window_y);
    UNPACK_FIELD_U32 (h, inp, window_border_width);

    /* Only support the most common/useful subset of XWD files out there;
     * namely, that corresponding to screen dumps from modern X.Org servers.
     * We could check visual_class == 5 too, but the other fields convey all
     * the info we need. */

    ASSERT_HEADER (h->header_size >= sizeof (XwdHeader));
    ASSERT_HEADER (h->header_size <= 65535);
    ASSERT_HEADER (h->file_version == 7);
    ASSERT_HEADER (h->pixmap_depth == 24);

    /* Should be zero for truecolor/directcolor. Cap it to prevent overflows. */
    ASSERT_HEADER (h->color_map_entries <= 256);

    /* Xvfb sets bits_per_rgb to 8, but 'convert' uses 24 for the same image data. One
     * of them is likely misunderstanding. Let's be lenient and accept either. */
    ASSERT_HEADER (h->bits_per_rgb == 8 || h->bits_per_rgb == 24);

    /* These are the pixel formats we allow. */
    ASSERT_HEADER (h->bits_per_pixel == 24 || h->bits_per_pixel == 32);

    /* Enforce sane dimensions. */
    ASSERT_HEADER (h->pixmap_width >= 1 && h->pixmap_width <= 65535);
    ASSERT_HEADER (h->pixmap_height >= 1 && h->pixmap_height <= 65535);

    /* Make sure rowstride can actually hold a row's worth of data but is not padded to
     * something ridiculous. */
    ASSERT_HEADER (h->bytes_per_line >= h->pixmap_width * (h->bits_per_pixel / 8));
    ASSERT_HEADER (h->bytes_per_line <= h->pixmap_width * (h->bits_per_pixel / 8) + 1024);

    /* Make sure the total allocation/map is not too big. */
    ASSERT_HEADER (h->bytes_per_line * h->pixmap_height < (1UL << 31) - 65536 - 256 * 32);

    ASSERT_HEADER (compute_pixel_type (loader) < CHAFA_PIXEL_MAX);

    loader->file_data = file_mapping_get_data (loader->mapping, &loader->file_data_len);
    if (!loader->file_data)
        return FALSE;

    ASSERT_HEADER (loader->file_data_len >= h->header_size
                   + h->color_map_entries * sizeof (XwdColor)
                   + h->pixmap_height * (gsize) h->bytes_per_line);

    loader->image_data = (const guint8 *) loader->file_data
        + h->header_size + h->color_map_entries * sizeof (XwdColor);

    return TRUE;
}
"
Heap Use After Free in function Q_IsTypeOn in gpac/gpac,CVE-2022-2453,CWE-416: Use After Free,"   e = gf_bifs_dec_sf_field(codec, bs, node, &sffield, GF_FALSE);
   if (e) return e;
  }
  return GF_OK;
 }















 e = GF_OK;
 last = NULL;
 for (i=0; i<nbFields; i++) {
  GF_Node *new_node = gf_bifs_dec_node(codec, bs, field->NDTtype);
  if (new_node) {
   e = gf_node_register(new_node, is_mem_com ? NULL : node);
   if (e) goto exit;

   if (node) {
    /*special case for QP, register as the current QP*/
    if (gf_node_get_tag(new_node) == TAG_MPEG4_QuantizationParameter) {
     qp_local = ((M_QuantizationParameter *)new_node)->isLocal;
     /*we have a QP in the same scope, remove previous
     NB: we assume this is the right behavior, the spec doesn't say
     whether QP is cumulative or not*/
     if (qp_on) gf_bifs_dec_qp_remove(codec, GF_FALSE);

     e = gf_bifs_dec_qp_set(codec, new_node);
     if (e) goto exit;
     qp_on = 1;
     if (qp_local) qp_local = 2;
     if (codec->force_keep_qp) {
      e = gf_node_list_add_child_last(field->far_ptr, new_node, &last);
      if (e) goto exit;
     } else {
      gf_node_register(new_node, NULL);
      gf_node_unregister(new_node, node);
     }
    } else {
     e = gf_node_list_add_child_last(field->far_ptr, new_node, &last);
     if (e) goto exit;
    }








   }
   /*proto coding*/
   else if (codec->pCurrentProto) {
    /*TO DO: what happens if this is a QP node on the interface ?*/
    e = gf_node_list_add_child_last( (GF_ChildNodeItem **)field->far_ptr, new_node, &last);
    if (e)goto exit;
   }
  } else {
   e = codec->LastError ? codec->LastError : GF_NON_COMPLIANT_BITSTREAM;
   goto exit;
  }
 }

exit:

 /*according to the spec, the QP applies to the current node itself, not just children.
 If IsLocal is TRUE remove the node*/
 if (qp_on && qp_local) {
  if (qp_local == 2) {
//    qp_local = 1;
  } else {
   //ask to get rid of QP and reactivate if we had a QP when entering the node
   gf_bifs_dec_qp_remove(codec, initial_qp);
//    qp_local = 0;

  }
 }

 /*finally delete the QP if any (local or not) as we get out of this node*/
 if (qp_on) gf_bifs_dec_qp_remove(codec, GF_TRUE);
 return e;
}


"
Integer Overflow in function lsr_translate_coords in gpac/gpac,CVE-2022-2454,CWE-190: Integer Overflow or Wraparound,"
static Fixed lsr_translate_coords(GF_LASeRCodec *lsr, u32 val, u32 nb_bits)
{
 if (!nb_bits) return 0;

#ifdef GPAC_FIXED_POINT
 if (val >> (nb_bits-1) ) {
  s32 neg = (s32) val - (1<<nb_bits);
"
